customer_tweet_id,customer_text_clean,predicted_intent,predicted_confidence,best_similarity_score,lexical_similarity_band,draft_reply,draft_mode,restricted_draft,safety_flags,action,decision_status,primary_reason_code,all_reason_codes,decision_explanation,needs_human_review,has_sufficient_historical_evidence,evidence_customer_tweet_ids,evidence_brand_tweet_ids,grounding_note,human_expected_action,human_expected_reason,agent_action_correct_yes_no,unsafe_auto_handle_yes_no,review_notes,reviewer_id,review_status
34681,Hoe kan ik de externe microfooningang van mijn iPhone 6S blijven gebruiken voor een professionele microfoon?,other_or_unclear,0.778,0.6679,moderate_lexical_evidence,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",template_with_historical_pattern,False,none,escalate,offline_candidate_not_sent,other_or_unclear,other_or_unclear | uncertain_intent,Customer intent is ambiguous or unclassified ('other_or_unclear'). Automated handling cannot safely diagnose or resolve unclassified inquiries.,False,True,2688189; 282429; 285663,2688188; 282427; 285661,Historical replies for similar training messages directed customers to secure support channels for investigation.,,,,,,,NEEDS_HUMAN_REVIEW
62275,Downloaded the [USER] iPhone update. Thought maybe it would correct my phone crashing problem. Nope. [USER] iPhone still crashing,other_or_unclear,0.5365,0.3096,weak_lexical_evidence,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,other_or_unclear,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,Customer intent is ambiguous or unclassified ('other_or_unclear'). Automated handling cannot safely diagnose or resolve unclassified inquiries.,True,True,2455345; 553672; 1338103,2455344; 553669; 1338104,Best lexical similarity (0.3096) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
121554,It happens with any app and all my apps are updated til now.,other_or_unclear,0.4653,0.506,moderate_lexical_evidence,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",template_with_historical_pattern,False,none,escalate,offline_candidate_not_sent,other_or_unclear,other_or_unclear | uncertain_intent,Customer intent is ambiguous or unclassified ('other_or_unclear'). Automated handling cannot safely diagnose or resolve unclassified inquiries.,True,True,2677419; 903688; 53005,2677420; 903691; 53004,Historical replies for similar training messages directed customers to secure support channels for investigation.,,,,,,,NEEDS_HUMAN_REVIEW
177852,I updated it to IOS 11.1.2 or whichever was the newest one,software_update_or_os_issue,0.9378,0.6124,moderate_lexical_evidence,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",template_with_historical_pattern,False,none,auto_handle,offline_candidate_not_sent,eligible_low_risk_case,eligible_low_risk_case,"Low-risk technical inquiry (software_update_or_os_issue) with high intent confidence (0.9378 >= 0.80), strong historical retrieval (0.6124 >= 0.50), safe draft mode, and zero safety flags. Eligible for automated handling candidate.",False,True,617283; 2477656; 109038,617282; 2477658; 109037,Historical replies for similar training messages directed customers to secure support channels for investigation.,,,,,,,NEEDS_HUMAN_REVIEW
188499,How can fix “Payment Delined” issue? I already made a new account but i think that the old one is still saved somewhere. [URL],billing_subscription_or_purchase,0.3527,0.2904,insufficient_lexical_evidence,"For questions regarding billing, purchases, or subscriptions, please review your purchase history through Apple’s official secure support options. Never post payment details or account credentials publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,high_risk_intent,high_risk_intent | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"Inquiry classified into high-risk domain 'billing_subscription_or_purchase'. Account recovery, billing/subscription disputes, and repair/hardware orders require human specialist authorization.",True,False,2314017; 2684308; 2143944,2314016; 2684305; 2143943,Best lexical similarity (0.2904) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
242819,iPhone 7 & iOS 11.0.2,software_update_or_os_issue,1.0,1.0,high_lexical_similarity,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",template_with_historical_pattern,False,none,auto_handle,offline_candidate_not_sent,eligible_low_risk_case,eligible_low_risk_case,"Low-risk technical inquiry (software_update_or_os_issue) with high intent confidence (1.0000 >= 0.80), strong historical retrieval (1.0000 >= 0.50), safe draft mode, and zero safety flags. Eligible for automated handling candidate.",False,True,2631; 1012344; 864463,2633; 1012347; 864462,Historical replies for similar training messages commonly requested device model and software version. This draft incorporates that general support protocol without asserting a customer-specific diagnosis.,,,,,,,NEEDS_HUMAN_REVIEW
261308,Is there anyway to stop iCloud notifications?,apps_services_or_icloud,0.4968,0.6146,moderate_lexical_evidence,"We understand you are experiencing trouble with an app or Apple service. We suggest checking Apple’s official System Status page and ensuring your apps are up to date. For direct account or service assistance, please reach out through an official secure support channel. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",template_with_historical_pattern,False,none,escalate,offline_candidate_not_sent,uncertain_intent,uncertain_intent,Intent prediction confidence (0.4968) is below the required 0.80 threshold or flagged for human review. Escalated to prevent misrouting.,True,True,1772565; 1220434; 612871,1772564; 1220431; 2762545,Historical replies for similar training messages commonly requested device model and software version. This draft incorporates that general support protocol without asserting a customer-specific diagnosis.,,,,,,,NEEDS_HUMAN_REVIEW
334937,"I bought a Canary camera from your store last year. With how they changed their service, Can I still return it?",other_or_unclear,0.316,0.1924,insufficient_lexical_evidence,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,other_or_unclear,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,Customer intent is ambiguous or unclassified ('other_or_unclear'). Automated handling cannot safely diagnose or resolve unclassified inquiries.,True,False,693925; 2697299; 2185360,693924; 2697298; 2185359,Best lexical similarity (0.1924) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
361413,hello. are we expecting to have fix of keyboard soon ? because it s start to drive me crasy (on 11.0.2 and 11.1 bêta),other_or_unclear,0.4487,0.2949,insufficient_lexical_evidence,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,escalate,offline_candidate_not_sent,other_or_unclear,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,Customer intent is ambiguous or unclassified ('other_or_unclear'). Automated handling cannot safely diagnose or resolve unclassified inquiries.,True,False,1012978; 2153470; 1709297,1012980; 2153469; 1709296,Best lexical similarity (0.2949) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,NEEDS_HUMAN_REVIEW
438056,Yeah so how am I to enter a verification code if my iPhone won't turn on to chat to someone??? So much for online support :(,account_access_and_apple_id,0.7472,0.3188,weak_lexical_evidence,"For account access or password concerns, please use Apple’s official account-recovery or secure support channels. Never share passwords, verification codes, or personal credentials publicly.",restricted_safety,True,password_or_recovery,escalate,offline_candidate_not_sent,restricted_safety_flag,restricted_safety_flag | high_risk_intent | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,Message contains safety-critical or account/billing risk language (password_or_recovery). Requires secure identity verification and human specialist handling; not eligible for auto-handling.,False,True,2852306; 2283140; 2296222,2852302; 2283139; 2296221,Safety restriction triggered: password/recovery terms detected. Draft directs to secure account recovery without requesting private credentials.,,,,,,,NEEDS_HUMAN_REVIEW
