pair_id,customer_tweet_id,conversation_root_or_group_id,customer_text_clean,customer_text_raw,brand_reply_clean
apple_pair_060146,1824482,1824482,someone stole my phone and this appeared on my iCloud [URL],@AppleSupport someone stole my phone and this appeared on my iCloud https://t.co/ZpJjGabnaA,"We’re sorry to hear about your iPhone. Use the link below to join us in DM, and we’ll take it from there. [URL]"
apple_pair_025615,904098,904098,iOS 11.0.2 is a nightmare on iPhone 7 Plus.Freeze several times a day+ volume buttons freeze sometimes. When is next update?,@AppleSupport iOS 11.0.2 is a nightmare on iPhone 7 Plus.Freeze several times a day+ volume buttons freeze sometimes. When is next update?,This should not be happening. We want to help. Send us a DM with more details. [URL]
apple_pair_060820,1841329,1841329,".@AppleSupport Latest update 11.0.3 worst ever - glitches, frozen screen- . R we supposed 2 run out and buy new model?😖👎🏽👎🏽Fix issues ASAP",".@AppleSupport Latest update 11.0.3 worst ever - glitches, frozen screen-  .  R we supposed 2 run out and buy new model?😖👎🏽👎🏽Fix issues ASAP",We want you to be happy with the phone that you have. We'd love to look into this with you. DM us the details. [URL]
apple_pair_085792,2322642,2322642,Welp. 1st sudden shut-down/app-quitting/freeze of my iPhone 6s after upgrading to #iOS11. I hear it won't be the last. Patch plz @115858! [URL],Welp. 1st sudden shut-down/app-quitting/freeze of my iPhone 6s after upgrading to #iOS11. I hear it won't be the last. Patch plz @115858! https://t.co/vEFNihfAeT,Thanks for reaching out. Which specific app did this issue occur with?
apple_pair_009827,368793,368793,.@115858 I’ve had to hard restart my phone 3 times since updating to iOS 11.0.2 can you please fix your shit,.@115858 I’ve had to hard restart my phone 3 times since updating to iOS 11.0.2 can you please fix your shit,Hey there. We'll be glad to look into this further. Please shoot us a DM and we'll get started. [URL]
apple_pair_049165,1639180,1639181,iPhone 7 and 11.1,@AppleSupport iPhone 7 and 11.1,Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL]
apple_pair_011156,411455,411455,"My iMessage icon gets stuck as if it’s still being pressed, bug? - running iOS 11.0.2 [URL]","@AppleSupport My iMessage icon gets stuck as if it’s still being pressed, bug? - running iOS 11.0.2 https://t.co/sKn7CiomDb",We'd like to help. Send us a DM and we can start there. [URL]
apple_pair_022094,793961,793961,Hat noch jemand WiFi Probleme unter iOS 11? Mein iPad behauptet Regelmäßig es gibt kein Internet. #iOS11 #wifi @AppleSupport,Hat noch jemand WiFi Probleme unter iOS 11? Mein iPad behauptet Regelmäßig es gibt kein Internet. #iOS11 #wifi @AppleSupport,We offer support via Twitter in English. Contact us for help in your preferred language here: [URL]
apple_pair_067482,1988410,1988410,Idk wtf is going on with @115858 & @126 but my phone is wigging out. And if insta keeps logging me out I’ll probably lose it. #annoyed,Idk wtf is going on with @115858 &amp; @126 but my phone is wigging out. And if insta keeps logging me out I’ll probably lose it. #annoyed,We'd like to look into this together. Let's meet up in DM and figure out what's going on. You can reach us at the link below. [URL]
apple_pair_019398,694209,694209,WHEN I DISABLE FLIGHT MODE WHY DOES IT ACTIVATE BLUETOOTH? @115858 YOU BUTTS,WHEN I DISABLE FLIGHT MODE WHY DOES IT ACTIVATE BLUETOOTH? @115858 YOU BUTTS,Hey there. We're happy to help. Before turning on Airplane Mode was your Bluetooth setting enabled under Settings > Bluetooth?
