golden_id,customer_tweet_id,customer_text_clean,true_intent,predicted_intent,true_action,agent_action,failure_type
golden_001,2002181,Tha activity app is loosing the data as soon that the phone syncs with the watch! [URL],apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_003,2299378,Also re-arranged that last tweet FIVE times because of the new @115858 update that’s turns “I️” INTO A FREAKING A,software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_004,1083985,"How do I set English as the default Input Method? :) Bafflingly this seems stuck in Alphabetical order, always defaults to CN [URL]",software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_005,952591,"Not at all, I mean the phone itself is on but the screen is locked and all",device_performance_or_hardware,device_performance_or_hardware,auto_handle,escalate,ACTION_MISMATCH
golden_007,172998,So it won’t work with Bluetooth? Just so that I know. I’m checking- I need a cable plugged into the charging port of the@phone and USB port in the car?,connectivity_and_network,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH
golden_011,1372813,my iPad won’t turn on. All it has is the red battery despite being plugged in for more than 24 hours??,device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_012,1097772,It says “downloading” then it goes back to the cloud.,apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_013,2358755,"Finder is the worst and stupidest app on Mac @115858 @AppleSupport crashes all the time, stupid ""show more"" button, it can't order by filter-sub filter... Damn, it's 2017, do it better for God sake!",apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_017,298495,I uogrades my 6s + to ios11.0.2 and it is killing the battery. Jumped from 41% to 18% in 7 mins whilst browsing.,software_update_or_os_issue,software_update_or_os_issue,auto_handle,escalate,ACTION_MISMATCH
golden_019,1671300,unable to downgrade my iCloud service. Please help,billing_subscription_or_purchase,apps_services_or_icloud,escalate,escalate,INTENT_MISMATCH
golden_020,2061705,"Help, the battery of my iPhone is ending very fast, after the updates. Please fix this. @115858 @AppleSupport",software_update_or_os_issue,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_021,1021001,I thought my tweet was clear. Volume buttons don’t work when the phone is locked.,device_performance_or_hardware,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_022,1785113,"new update iOS11.0.2 Have a problem with wifi connection it ignore to connect to my wifi , battery life is drain very fast",software_update_or_os_issue,connectivity_and_network,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
golden_024,1761130,"Yes. I have 4 devices. iPad, iPhone, iMac, and Macbook. I backed up and then deleted all the photos on iMac. Everything remains on others.",apps_services_or_icloud,other_or_unclear,auto_handle,escalate,ACTION_MISMATCH|INTENT_MISMATCH
