golden_id,customer_tweet_id,customer_text_clean,proposed_intent,proposed_action,proposed_escalation_reason,review_decision,final_intent,final_action,final_escalation_reason,adjudicator_id,edit_or_acceptance_reason
golden_001,2002181,Tha activity app is loosing the data as soon that the phone syncs with the watch! [URL],apps_services_or_icloud,auto_handle,,ACCEPTED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Accepted proposal: Troubleshooting Apple ecosystem native application or cloud service; safe standard self-service steps apply (Guidelines Section 2.4).
golden_002,1596051,guys sorry to complain but since iOS 11 upgrade - brick + LTE issues. Can you please provide another updated fix?,software_update_or_os_issue,escalate,complex_recovery,ACCEPTED,software_update_or_os_issue,escalate,complex_recovery,siva_adjudicator,Accepted proposal: Device in severe crash/recovery loop post-update; requires step-by-step specialist recovery assistance (Guidelines Section 3.2).
golden_003,2299378,Also re-arranged that last tweet FIVE times because of the new @115858 update that’s turns “I️” INTO A FREAKING A,software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Well-documented iOS 11 keyboard autocorrect bug; safe standardized text-replacement workaround can be auto-provided (Guidelines Section 2.1).
golden_004,1083985,"How do I set English as the default Input Method? :) Bafflingly this seems stuck in Alphabetical order, always defaults to CN [URL]",software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: OS-level keyboard input method configuration; safe navigation guidance applies (Guidelines Section 2.1).
golden_005,952591,"Not at all, I mean the phone itself is on but the screen is locked and all",device_performance_or_hardware,auto_handle,,ACCEPTED,device_performance_or_hardware,auto_handle,,siva_adjudicator,Accepted proposal: Physical hardware or performance diagnostic inquiry; safe standardized self-service steps can be provided (Guidelines Section 2.2).
golden_006,2955492,"I blocked my Apple ID by accident . Now i have to wait for 3 days. Are that workingdays? Or is weekend included? My iPhone is stolen. I have a new one now, but cant use my ID. So no apps.",account_access_and_apple_id,escalate,account_security,ACCEPTED,account_access_and_apple_id,escalate,account_security,siva_adjudicator,Accepted proposal: Account takeover or security risk; requires immediate credential protection (Guidelines Section 2.5).
golden_007,172998,So it won’t work with Bluetooth? Just so that I know. I’m checking- I need a cable plugged into the charging port of the@phone and USB port in the car?,connectivity_and_network,auto_handle,,ACCEPTED,connectivity_and_network,auto_handle,,siva_adjudicator,Accepted proposal: Standard wireless / network connectivity symptom; safe self-service resets can be provided (Guidelines Section 2.3).
golden_008,2445238,"My new iPhone X is scheduled to arrive in the mail tomorrow, how do I go about buying Applecare for it? After seeing the repair costs, I've had a change of heart!",repair_replacement_or_order,escalate,repair_or_order_lookup,ACCEPTED,repair_replacement_or_order,escalate,repair_or_order_lookup,siva_adjudicator,"Accepted proposal: Physical repair pricing, Genius Bar booking, warranty claim, store return, or hardware order tracking requires specialist lookup (Guidelines Section 2.7)."
golden_009,2109871,bullshit customer experience and misbehavour of staff at Apple store in Zorlu Istanbul/Turkey. So sad to face this after listening to great mind and legend @84165 in @84166 😕 obviously these guys do not understand anything of Apple,other_or_unclear,escalate,insufficient_context,ACCEPTED,other_or_unclear,escalate,insufficient_context,siva_adjudicator,"Accepted proposal: Vague, ambiguous, or conversational message lacking actionable technical details; requires human exploratory diagnostic dialogue (Guidelines Section 2.8)."
golden_010,2073016,not lying but my battery is fucked up,device_performance_or_hardware,escalate,legal_distress_or_abuse,ACCEPTED,device_performance_or_hardware,escalate,legal_distress_or_abuse,siva_adjudicator,Accepted proposal: Hardware complaint accompanied by legal threats or severe profanity; requires human handling (Guidelines Section 3.2).
golden_011,1372813,my iPad won’t turn on. All it has is the red battery despite being plugged in for more than 24 hours??,device_performance_or_hardware,auto_handle,,ACCEPTED,device_performance_or_hardware,auto_handle,,siva_adjudicator,Accepted proposal: Physical hardware or performance diagnostic inquiry; safe standardized self-service steps can be provided (Guidelines Section 2.2).
golden_012,1097772,It says “downloading” then it goes back to the cloud.,apps_services_or_icloud,auto_handle,,ACCEPTED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Accepted proposal: Troubleshooting Apple ecosystem native application or cloud service; safe standard self-service steps apply (Guidelines Section 2.4).
golden_013,2358755,"Finder is the worst and stupidest app on Mac @115858 @AppleSupport crashes all the time, stupid ""show more"" button, it can't order by filter-sub filter... Damn, it's 2017, do it better for God sake!",apps_services_or_icloud,auto_handle,,ACCEPTED,apps_services_or_icloud,auto_handle,,siva_adjudicator,Accepted proposal: Troubleshooting Apple ecosystem native application or cloud service; safe standard self-service steps apply (Guidelines Section 2.4).
golden_014,1420601,So annoying! All my iCloud has gone!,apps_services_or_icloud,escalate,potential_data_loss,ACCEPTED,apps_services_or_icloud,escalate,potential_data_loss,siva_adjudicator,Accepted proposal: Customer reports missing photos or lost iCloud data; requires careful specialist data recovery guidance (Guidelines Section 3.2).
golden_015,2799471,"hey guys I keep getting this email, I believe it is a phishing email can you please advise. [URL]",account_access_and_apple_id,escalate,account_security,ACCEPTED,account_access_and_apple_id,escalate,account_security,siva_adjudicator,Accepted proposal: Account takeover or security risk; requires immediate credential protection (Guidelines Section 2.5).
golden_016,2952380,"Just FYI, I’ve received 10 robocalls since yesterday, which claim my Apple account has been compromised. Caller ID reads “Apple Computer”. I’ve saved the audio recording if you want it.",account_access_and_apple_id,escalate,account_security,ACCEPTED,account_access_and_apple_id,escalate,account_security,siva_adjudicator,Accepted proposal: Account takeover or security risk; requires immediate credential protection (Guidelines Section 2.5).
golden_017,298495,I uogrades my 6s + to ios11.0.2 and it is killing the battery. Jumped from 41% to 18% in 7 mins whilst browsing.,software_update_or_os_issue,auto_handle,,ACCEPTED,software_update_or_os_issue,auto_handle,,siva_adjudicator,Accepted proposal: Customer explicitly attributes symptom or glitch to an operating system update; safe diagnostic update steps apply (Guidelines Section 2.1).
