customer_tweet_id,customer_text_clean,predicted_intent,predicted_confidence,needs_human_review,draft_reply,draft_mode,restricted_draft,safety_flags,evidence_customer_tweet_ids,evidence_brand_tweet_ids,best_similarity_score,lexical_similarity_band,has_sufficient_historical_evidence,grounding_note,reply_relevant_yes_no,reply_grounded_yes_no,reply_safe_yes_no,clear_next_step_yes_no,would_send_or_escalate,review_notes,reviewer_id,review_status
9184,I️ have 11.0.3,software_update_or_os_issue,0.5257,True,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",template_with_historical_pattern,False,none,2972468; 619537; 1371879,2972467; 619536; 1371881,1.0,high_lexical_similarity,True,Historical replies for similar training messages commonly requested device model and software version. This draft incorporates that general support protocol without asserting a customer-specific diagnosis.,,,,,,,,NEEDS_HUMAN_REVIEW
110875,It’s iOS 11.1.1,software_update_or_os_issue,0.9998,False,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",template_with_historical_pattern,False,none,594008; 598114; 2441877,594009; 598116; 2441879,1.0,high_lexical_similarity,True,Historical replies for similar training messages commonly requested device model and software version. This draft incorporates that general support protocol without asserting a customer-specific diagnosis.,,,,,,,,NEEDS_HUMAN_REVIEW
164214,"I have an iPhone 6+ and after installing the IOS upgrade, my phone's touchscreen is unresponsive. I'm repeatedly hard shutting it down and restarting. Plus I did a complete hard wipe and reinstall and issue remais. I have plenty of storage too. Help [USER] please.",software_update_or_os_issue,0.394,True,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",template_with_historical_pattern,False,none,161285; 557768; 2549113,161284; 557770; 2549115,0.9522,high_lexical_similarity,True,Historical replies for similar training messages directed customers to secure support channels for investigation.,,,,,,,,NEEDS_HUMAN_REVIEW
244709,Thanks again for proactively getting engaged on this,other_or_unclear,0.5218,True,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",template_with_historical_pattern,False,none,1363274; 2403621; 2522533,1363276; 2403623; 2522532,0.5853,moderate_lexical_evidence,True,Historical replies for similar training messages commonly requested device model and software version. This draft incorporates that general support protocol without asserting a customer-specific diagnosis.,,,,,,,,NEEDS_HUMAN_REVIEW
247629,Yes. Thanks for your help,other_or_unclear,0.7415,False,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",template_with_historical_pattern,False,none,2255426; 553487; 1059784,2255425; 553486; 1059786,0.945,high_lexical_similarity,True,Historical replies for similar training messages directed customers to secure support channels for investigation.,,,,,,,,NEEDS_HUMAN_REVIEW
294918,just received this email. Is this legit or is it a scam??? [URL],other_or_unclear,0.4644,True,"For payment, purchase history, or refund concerns, please use Apple’s secure support or purchase-history options. Do not share payment details or card numbers publicly.",restricted_safety,True,unauthorized_payment_or_fraud,2285794; 1616987; 44569,2285793; 1616986; 44568,0.5956,moderate_lexical_evidence,True,Safety restriction triggered: billing/fraud/dispute terms detected. Draft enforces payment privacy and directs to secure purchase support without asserting transaction status.,,,,,,,,NEEDS_HUMAN_REVIEW
300638,"I’m @ 11.0.2, since updating to 11. UI lag, not registering input, randomly launches apps when opening folders, poor battery life, etc",device_performance_or_hardware,0.664,False,"We understand you are having concerns with your device’s performance or hardware. As an initial step, a basic device restart can often help refresh system processes. For a complete diagnostic check, please connect with Apple Support through an official secure channel.",conservative_no_evidence,False,none,2594388; 260010; 1091346,2594390; 260008; 1091345,0.2463,insufficient_lexical_evidence,False,Best lexical similarity (0.2463) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,,NEEDS_HUMAN_REVIEW
464702,HOW THE FUCK AM I SUPPOSED TO GET A VERIFICATION CODE WHEN YOU SEND IT TO A PHONE THAT'S NOT EVEN ACTIVATED YET?!,account_access_and_apple_id,0.7921,False,"For account access or password concerns, please use Apple’s official account-recovery or secure support channels. Never share passwords, verification codes, or personal credentials publicly.",restricted_safety,True,password_or_recovery,1838024; 2551393; 300091,1838023; 2551391; 300089,0.4069,weak_lexical_evidence,True,Safety restriction triggered: password/recovery terms detected. Draft directs to secure account recovery without requesting private credentials.,,,,,,,,NEEDS_HUMAN_REVIEW
851205,Apparently Christmas is on the 24th for me this year also [URL],other_or_unclear,0.4008,True,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,1761178; 162823; 2686684,1761180; 162822; 2686683,0.296,insufficient_lexical_evidence,False,Best lexical similarity (0.2960) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,,NEEDS_HUMAN_REVIEW
960166,My iPhone 6 is struck with Activation lock page after upgrade to IOS 11👎 Apple care is working on priority basis 😫,repair_replacement_or_order,0.7213,False,"For account access or password concerns, please use Apple’s official account-recovery or secure support channels. Never share passwords, verification codes, or personal credentials publicly.",restricted_safety,True,password_or_recovery,794005; 709083; 2052419,794004; 709082; 2052418,0.3179,weak_lexical_evidence,True,Safety restriction triggered: password/recovery terms detected. Draft directs to secure account recovery without requesting private credentials.,,,,,,,,NEEDS_HUMAN_REVIEW
1069909,My friend upgraded her iPhone from 6 to 7 and it's screen broke in less than 48 hrs. [USER] [USER] pls help. [URL],other_or_unclear,0.3482,True,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",conservative_no_evidence,False,none,2031857; 1791219; 1303763,2031856; 1791217; 1303761,0.2561,insufficient_lexical_evidence,False,Best lexical similarity (0.2561) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,,NEEDS_HUMAN_REVIEW
1086840,The latest update broke iTunes. When can we expect a repair? Wasn’t broke til you “fixed” it.,software_update_or_os_issue,0.5538,True,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",conservative_no_evidence,False,none,756459; 1757677; 2641035,756458; 1757676; 2641033,0.4523,weak_lexical_evidence,True,Best lexical similarity (0.4523) is below the 0.50 adaptation threshold. Draft uses conservative base template without historical troubleshooting guidance.,,,,,,,,NEEDS_HUMAN_REVIEW
1212747,Please sort this! Getting fed up of daily fraudulent emails....and illiterate scammers! [URL],other_or_unclear,0.5329,True,"For payment, purchase history, or refund concerns, please use Apple’s secure support or purchase-history options. Do not share payment details or card numbers publicly.",restricted_safety,True,unauthorized_payment_or_fraud,1978171; 1708468; 2734373,1978170; 1708467; 2734372,0.3048,weak_lexical_evidence,True,Safety restriction triggered: billing/fraud/dispute terms detected. Draft enforces payment privacy and directs to secure purchase support without asserting transaction status.,,,,,,,,NEEDS_HUMAN_REVIEW
