golden_id,customer_tweet_id,conversation_root_or_group_id,customer_text_clean,customer_text_raw,weak_sampling_bucket,is_safety_slice
golden_001,2002181,2002181,Tha activity app is loosing the data as soon that the phone syncs with the watch! [URL],@AppleSupport Tha activity app is loosing the data as soon that the phone syncs with the watch! https://t.co/OEtnW8KSVT,connectivity_network_bucket,False
golden_002,1596051,1596051,guys sorry to complain but since iOS 11 upgrade - brick + LTE issues. Can you please provide another updated fix?,@115858 guys sorry to complain but since iOS 11 upgrade - brick + LTE issues. Can you please provide another updated fix?,software_update_bucket,False
golden_003,2299378,2299378,Also re-arranged that last tweet FIVE times because of the new @115858 update that’s turns “I️” INTO A FREAKING A,Also re-arranged that last tweet FIVE times because of the new @115858 update that’s turns “I️” INTO A FREAKING A,software_update_bucket,False
golden_004,1083985,1083985,"How do I set English as the default Input Method? :) Bafflingly this seems stuck in Alphabetical order, always defaults to CN [URL]","@AppleSupport How do I set English as the default Input Method? :) Bafflingly this seems stuck in Alphabetical order, always defaults to CN https://t.co/rCsRny29dA",repair_order_bucket,False
golden_005,952591,952592,"Not at all, I mean the phone itself is on but the screen is locked and all","@AppleSupport Not at all, I mean the phone itself is on but the screen is locked and all",account_access_bucket,False
golden_006,2955492,2955492,"I blocked my Apple ID by accident . Now i have to wait for 3 days. Are that workingdays? Or is weekend included? My iPhone is stolen. I have a new one now, but cant use my ID. So no apps.","@AppleSupport I blocked my Apple ID by accident . Now i have to wait for 3 days. Are that workingdays? Or is weekend included? My iPhone is stolen. I have a new one now, but cant use my ID. So no apps.",account_access_bucket,True
golden_007,172998,173002,So it won’t work with Bluetooth? Just so that I know. I’m checking- I need a cable plugged into the charging port of the@phone and USB port in the car?,@AppleSupport So it won’t work with Bluetooth? Just so that I know. I’m checking- I need a cable plugged into the charging port of the@phone and USB port in the car?,device_hardware_bucket,False
golden_008,2445238,2445238,"My new iPhone X is scheduled to arrive in the mail tomorrow, how do I go about buying Applecare for it? After seeing the repair costs, I've had a change of heart!","@AppleSupport My new iPhone X is scheduled to arrive in the mail tomorrow, how do I go about buying Applecare for it? After seeing the repair costs, I've had a change of heart!",repair_order_bucket,False
golden_009,2109871,2109871,bullshit customer experience and misbehavour of staff at Apple store in Zorlu Istanbul/Turkey. So sad to face this after listening to great mind and legend @84165 in @84166 😕 obviously these guys do not understand anything of Apple,@AppleSupport bullshit customer experience and misbehavour of staff at Apple store in Zorlu Istanbul/Turkey. So sad to face this after listening to great mind and legend @84165 in @84166 😕 obviously these guys do not understand anything of Apple,repair_order_bucket,False
golden_010,2073016,2073017,not lying but my battery is fucked up,@AppleSupport not lying but my battery is fucked up,device_hardware_bucket,False
golden_011,1372813,1372813,my iPad won’t turn on. All it has is the red battery despite being plugged in for more than 24 hours??,@AppleSupport my iPad won’t turn on. All it has is the red battery despite being plugged in for more than 24 hours??,device_hardware_bucket,False
golden_012,1097772,1097770,It says “downloading” then it goes back to the cloud.,@AppleSupport It says “downloading” then it goes back to the cloud.,unclear_general_bucket,False
golden_013,2358755,2358755,"Finder is the worst and stupidest app on Mac @115858 @AppleSupport crashes all the time, stupid ""show more"" button, it can't order by filter-sub filter... Damn, it's 2017, do it better for God sake!","Finder is the worst and stupidest app on Mac @115858 @AppleSupport crashes all the time, stupid ""show more"" button, it can't order by filter-sub filter... Damn, it's 2017, do it better for God sake!",repair_order_bucket,False
golden_014,1420601,1412896,So annoying! All my iCloud has gone!,@450257 @115858 So annoying! All my iCloud has gone!,apps_icloud_bucket,False
golden_015,2799471,2799471,"hey guys I keep getting this email, I believe it is a phishing email can you please advise. [URL]","@118721 @115858 @AppleSupport hey guys I keep getting this email, I believe it is a phishing email can you please advise. https://t.co/KsevNGjJWF",unclear_general_bucket,False
golden_016,2952380,2952380,"Just FYI, I’ve received 10 robocalls since yesterday, which claim my Apple account has been compromised. Caller ID reads “Apple Computer”. I’ve saved the audio recording if you want it.","@AppleSupport Just FYI, I’ve received 10 robocalls since yesterday, which claim my Apple account has been compromised. Caller ID reads “Apple Computer”. I’ve saved the audio recording if you want it.",unclear_general_bucket,True
golden_017,298495,298495,I uogrades my 6s + to ios11.0.2 and it is killing the battery. Jumped from 41% to 18% in 7 mins whilst browsing.,@AppleSupport I uogrades my 6s + to ios11.0.2 and it is killing the battery. Jumped from 41% to 18% in 7 mins whilst browsing.,device_hardware_bucket,False
golden_018,2050566,2050566,I didn’t change my payment information so I can’t understand what is the problem! I pay my €0.99 subscription for years now. [URL],@AppleSupport I didn’t change my payment information so I can’t understand what is the problem! I pay my €0.99 subscription for years now. https://t.co/tlZHVDRtzq,billing_purchase_bucket,False
golden_019,1671300,1671300,unable to downgrade my iCloud service. Please help,@AppleSupport unable to downgrade  my iCloud service. Please help,apps_icloud_bucket,False
golden_020,2061705,2061705,"Help, the battery of my iPhone is ending very fast, after the updates. Please fix this. @115858 @AppleSupport","Help, the battery of my iPhone is ending very fast, after the updates. Please fix this. @115858  @AppleSupport",device_hardware_bucket,False
golden_021,1021001,1021002,I thought my tweet was clear. Volume buttons don’t work when the phone is locked.,@AppleSupport I thought my tweet was clear. Volume buttons don’t work when the phone is locked.,account_access_bucket,False
golden_022,1785113,178654,"new update iOS11.0.2 Have a problem with wifi connection it ignore to connect to my wifi , battery life is drain very fast","@536335 @AppleSupport @AppleSupport  new update iOS11.0.2
Have a problem with wifi connection it ignore to connect to my wifi , battery life is drain very fast",software_update_bucket,False
golden_023,1329973,1329973,"How do i cancel my free 3 month subscription to itunes.I've downloaded songs,that i will pay for could you cancel it please.","@AppleSupport How do i cancel my free  3 month subscription to itunes.I've downloaded songs,that i will pay for could you cancel it please.",billing_purchase_bucket,False
golden_024,1761130,1761126,"Yes. I have 4 devices. iPad, iPhone, iMac, and Macbook. I backed up and then deleted all the photos on iMac. Everything remains on others.","@AppleSupport Yes. I have 4 devices. iPad, iPhone, iMac, and Macbook. I backed up and then deleted all the photos on iMac. Everything remains on others.",apps_icloud_bucket,False
golden_025,2132069,2132069,In less than 2 hours a decrease of battery by 73%??? WTF? 11.1 iPhone 6s. Seriously?? #iphone #iOS11 #fail [URL],@AppleSupport @115858 In less than 2 hours a decrease of battery by 73%???  WTF?  11.1 iPhone 6s. Seriously?? #iphone #iOS11 #fail https://t.co/D4ZqBbCYzQ,device_hardware_bucket,False
golden_026,1966899,1966899,"Somehow my iPhone has used 87% of battery in 25 minutes, I was only on Spotify, anyone else have these issues? @AppleSupport #appleisshit","Somehow my iPhone has used 87% of battery in 25 minutes, I was only on Spotify, anyone else have these issues? @AppleSupport #appleisshit",device_hardware_bucket,False
golden_027,2894716,2894719,No just whilst using Apple Music,@AppleSupport No just whilst using Apple Music,apps_icloud_bucket,False
golden_028,543659,543659,suddenly a black screen with a spinning wheel comes up. why is this happening & how to fix it? pls help 😞 @115858 @AppleSupport,suddenly a black screen with a spinning wheel comes up. why is this happening &amp; how to fix it? pls help 😞 @115858 @AppleSupport,device_hardware_bucket,False
golden_029,1901751,1901751,Why do I have to have a credit card for my Apple ID when I’m a minor? I can’t even download and play games without it,@AppleSupport Why do I have to have a credit card for my Apple ID when I’m a minor? I can’t even download and play games without it,account_access_bucket,False
golden_030,1712471,1712471,I want to know why my Apple ID has been locked for the past 5 months after 3 resets and multiple password changes,@AppleSupport I want to know why my Apple ID has been locked for the past 5 months after 3 resets and multiple password changes,account_access_bucket,False
golden_031,1338927,1338927,#appleupdate anyone’s iTunes screwed up by version 3? ‘For You’ and ‘Browse’ just says ‘try again’... nothing? 😡😡😡 @6623 @115858,#appleupdate anyone’s iTunes screwed up by version 3? ‘For You’ and ‘Browse’ just says ‘try again’... nothing? 😡😡😡 @6623 @115858,software_update_bucket,False
golden_032,1392454,1392452,"How about you fix my 6 Plus? Ever since I downloaded IOS 11, and then the updates, it’s been going crazy. So close to over it.","@115858 How about you fix my 6 Plus?  Ever since I downloaded IOS 11, and then the updates, it’s been going crazy. So close to over it.",software_update_bucket,False
golden_033,1866466,1866466,"WHY DOES MY PHONE DIE ON 80%!? My battery literally lasts 30 minutes. Pre-ios11, never had problems. @115858 I’m done w/ all your products.","WHY DOES MY PHONE DIE ON 80%!? My battery literally lasts 30 minutes. Pre-ios11, never had problems. @115858 I’m done w/ all your products.",device_hardware_bucket,False
golden_034,2974473,2974473,Wtf is this apple stop this fucking shit.Stop asking me to sign into a iCloud account that I don't even use anymore and why the heck should I even do it.It pops up every 10 seconds and ruined my days @AppleSupport How do I fix it? [URL],Wtf is this apple stop this fucking shit.Stop asking me to sign into a iCloud account that I don't even use anymore and why the heck should I even do it.It pops up every 10 seconds and ruined my days @AppleSupport How do I fix it? https://t.co/usSnBwuNPe,apps_icloud_bucket,False
golden_035,1919919,1919919,I've already bought the Apple Music subscription on 18th Oct. Why is it asking me to buy it again?,@AppleSupport I've already bought the Apple Music subscription on 18th Oct. Why is it asking me to buy it again?,billing_purchase_bucket,False
golden_036,848434,848434,Please fix the Wifi issue. When I want to turn off wifi from control center I really want to turn it off!!,@AppleSupport Please fix the Wifi issue. When I want to turn off wifi from control center I really want to turn it off!!,connectivity_network_bucket,False
golden_037,145186,145186,can i refund an album i bought 3 years ago? @118721 @115858 @AppleSupport,can i refund an album i bought 3 years ago? @118721 @115858 @AppleSupport,billing_purchase_bucket,True
golden_038,1919925,1919925,Pathetic service. 1 day old phone giving nightmares.. Please take this stupid box back and refund my money.,@AppleSupport Pathetic service. 1 day old phone giving nightmares..  Please take this stupid box back and refund my money.,billing_purchase_bucket,True
golden_039,883967,883967,"is it true that if I have 5 mo left on my #warranty and my #iphone needs to be replaced, I only get a 90 day warranty on the new one?","@115858 is it true that if I have 5 mo left on my #warranty and my #iphone needs to be replaced, I only get a 90 day warranty on the new one?",repair_order_bucket,False
golden_040,1877182,1877183,"Too many UI bugs in ios11. Camera app, music app, homescreen!!","@560357 @115858 Too many UI bugs in ios11. Camera app, music app, homescreen!!",apps_icloud_bucket,False
golden_041,407562,407562,"hey my wife has issue in that when she receives an iMessage from me, the notification comes up as my number rather than name","@AppleSupport hey my wife has issue in that when she receives an iMessage from me, the notification comes up as my number rather than name",apps_icloud_bucket,False
golden_042,2688139,2688139,My phone has like a 2 - 3 second delay between input and response to the input Idk what’s happening When I type then my phone freezes and then unfreezes and typing happens super fast Help aaaaaa @AppleSupport,"My phone has like a 2 - 3 second delay between input and response to the input 
Idk what’s happening 
When I type then my phone freezes and then unfreezes and typing happens super fast 
Help aaaaaa @AppleSupport",unclear_general_bucket,False
golden_043,2833002,2833002,"need to get their damn shit together, just bought the 2017 MacBook Pro and the damn charger is playing up.","@115858 need to get their damn shit together, just bought the 2017 MacBook Pro and the damn charger is playing up.",device_hardware_bucket,False
golden_044,1633089,1633089,I’m not bout to do this shit @115858 you suggested I️ download iOS 11.1 and I️ did give me my mf “I️” back 😡,I’m not bout to do this shit @115858 you suggested I️ download iOS 11.1 and I️ did give me my mf “I️” back 😡,software_update_bucket,False
golden_045,2292794,2292794,Could resetting your Apple ID password any more aggravating? @AppleSupport,Could resetting your Apple ID password any more aggravating? @AppleSupport,account_access_bucket,False
golden_046,1367051,1367049,"Thanks @AppleSupport, appreciate the advice. Pleasantly surprised: WatchOS 4 seems smooth & fast even on my ""Series Zero.""","@AppleSupport Thanks @AppleSupport, appreciate the advice. Pleasantly surprised: WatchOS 4 seems smooth &amp; fast even on my ""Series Zero.""",unclear_general_bucket,False
golden_047,1918885,1918885,the 11.0.3 update is garbage. New one this morning was my alarm going off but making no sound.,@115858 the 11.0.3 update is garbage. New one this morning was my alarm going off but making no sound.,software_update_bucket,False
golden_048,851759,851759,"iOS 11.0.3= disaster! Safari, Apps, streaming apps all lag and freeze, battery life👎 went from 10 to 11.3 on 6plus- FAIL!!!!!!","@AppleSupport iOS 11.0.3= disaster! Safari, Apps, streaming apps all lag and freeze, battery life👎 went from 10 to 11.3 on 6plus- FAIL!!!!!!",software_update_bucket,False
golden_049,1864418,1864418,Hey @AppleSupport ... ever since I updated my phone it now shuts off every two minutes and restarts and the battery doesn’t charge.. HELP,Hey @AppleSupport ... ever since I updated my phone it now shuts off every two minutes and restarts and the battery doesn’t charge.. HELP,billing_purchase_bucket,False
golden_050,2205975,2205975,do you like to give software updates for iPhones that disables the phone and u lose all your precious photos/videos?! FUMING. SORT IT OUT! You are one of the biggest brands in the world and you screw people's treasured memories up. I expect a response urgently.,@115858 do you like to give software updates for iPhones that disables the phone and u lose all your precious photos/videos?! FUMING. SORT IT OUT! You are one of the biggest brands in the world and you screw people's treasured memories up. I expect a response urgently.,apps_icloud_bucket,False
golden_051,2292780,2292780,next time could you maybe fix the bug where it stops connecting peoples WiFi because that seems to be the main issue here xo [URL],@115858 next time could you maybe fix the bug where it stops connecting peoples WiFi because that seems to be the main issue here xo https://t.co/lJVcYnvIMt,connectivity_network_bucket,False
