query_customer_tweet_id,query_customer_text_clean,query_conversation_group_id,rank,similarity_score,best_similarity_score,lexical_similarity_band,has_sufficient_historical_evidence,retrieval_warning,needs_human_relevance_review,retrieved_customer_tweet_id,retrieved_brand_tweet_id,retrieved_conversation_group_id,retrieved_customer_text_clean,retrieved_brand_reply_clean,retrieval_scope,retrieval_relevant_yes_no,historical_reply_pattern_usable_yes_no,unsupported_or_unsafe_pattern_yes_no,review_notes,reviewer_id,review_status
2060519,"👎🏻 iOS 11. IPhone 6 glitchy, Apps crashing. Typing slow and jerky. Battery life 👎🏻. I ❤️ u Apple but sometimes u suck.",2060519,1,0.3359,0.3359,weak_lexical_evidence,True,None,True,1155539,1155537,1155542,"iOS 11.0.3, iPhone 7",Thanks. Are you managing those settings through Control Center or Settings? Check here for options: [URL],train_only,,,,,,NEEDS_HUMAN_REVIEW
2060519,"👎🏻 iOS 11. IPhone 6 glitchy, Apps crashing. Typing slow and jerky. Battery life 👎🏻. I ❤️ u Apple but sometimes u suck.",2060519,2,0.3359,0.3359,weak_lexical_evidence,True,None,True,1305629,1305628,1305631,IOS 11.0.3 IPhone 7,Has this occurred in multiple locations and different networks?,train_only,,,,,,NEEDS_HUMAN_REVIEW
2060519,"👎🏻 iOS 11. IPhone 6 glitchy, Apps crashing. Typing slow and jerky. Battery life 👎🏻. I ❤️ u Apple but sometimes u suck.",2060519,3,0.3359,0.3359,weak_lexical_evidence,True,None,True,962197,962196,962198,iOS 11.0.2 iPhone 8,Meet us in DM so we can look into this more with you today. [URL],train_only,,,,,,NEEDS_HUMAN_REVIEW
2318559,Wow......my storage gets full so you Delete all my Notes without my permission. I hate you with all my heart 🖕🏽[USER],2318559,1,0.3402,0.3402,weak_lexical_evidence,True,None,True,1185070,1185068,1185070,why is my phone updating without my permission,We wouldn't expect that to happen. We'll be happy to assist as best we can. What update did you see complete on its own?,train_only,,,,,,NEEDS_HUMAN_REVIEW
2318559,Wow......my storage gets full so you Delete all my Notes without my permission. I hate you with all my heart 🖕🏽[USER],2318559,2,0.3381,0.3402,weak_lexical_evidence,True,None,True,2062110,2062109,2062110,whyyyyy you delete all my pics [URL],Thanks for reaching out. Did your photos reappear once the restoration completed? Let us know via a DM. We’ll go from there. [URL],train_only,,,,,,NEEDS_HUMAN_REVIEW
2318559,Wow......my storage gets full so you Delete all my Notes without my permission. I hate you with all my heart 🖕🏽[USER],2318559,3,0.2424,0.3402,weak_lexical_evidence,True,None,True,1364832,1364830,1364832,How do I keep my screen brightness from moving without my permission ?? [USER],We'd love to help. Go to Settings > General > Accessibility > Display Accommodations > Auto-Brightness.,train_only,,,,,,NEEDS_HUMAN_REVIEW
1687734,please fix this ASAP! #Apple [URL],1687734,1,0.8171,0.8171,high_lexical_similarity,True,None,True,2116262,2116261,2116264,please fix this ASAP,Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL],train_only,,,,,,NEEDS_HUMAN_REVIEW
1687734,please fix this ASAP! #Apple [URL],1687734,2,0.8171,0.8171,high_lexical_similarity,True,None,True,2134915,2134914,2134915,PLEASE FIX THIS ASAP 😭😭😭😭😭 I️ I️ I️ I️ I️ I️ I️ I️ I️ ️ I️ I️ I I️ I️ I️ I️ ️ I️ I️ I️ I️ ️ I️ I️ I️,Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL],train_only,,,,,,NEEDS_HUMAN_REVIEW
1687734,please fix this ASAP! #Apple [URL],1687734,3,0.8171,0.8171,high_lexical_similarity,True,None,True,2593040,2593039,2593040,please fix this !!! i️ i️t <—— ASAP,"We recently released an iOS update, that contains a fix for autocorrect issues. Be sure to back up your device prior to updating. How to back up: [URL] If you continue to see this in messages from others, it means they need to update.",train_only,,,,,,NEEDS_HUMAN_REVIEW
429596,"If I'm in a fullscreen app and click a Mail notification, Mail goes fullscreen and splits the fullscreen app. Can I stop this?",429596,1,0.2148,0.2148,insufficient_lexical_evidence,False,Best similarity score (0.2148) below 0.30 threshold; weak or insufficient lexical evidence.,True,1674035,1674034,1674035,Y’all are on the cusp of world domination but can’t stop this——> I️ [USER],Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL],train_only,,,,,,NEEDS_HUMAN_REVIEW
429596,"If I'm in a fullscreen app and click a Mail notification, Mail goes fullscreen and splits the fullscreen app. Can I stop this?",429596,2,0.2113,0.2148,insufficient_lexical_evidence,False,Best similarity score (0.2148) below 0.30 threshold; weak or insufficient lexical evidence.,True,426726,426725,426726,"when ever I get an email from this one sender, it goes to archive on the Mac mail app. How can I stop this?",We're here to help. Let's take this to DM so we can better assist you. [URL],train_only,,,,,,NEEDS_HUMAN_REVIEW
429596,"If I'm in a fullscreen app and click a Mail notification, Mail goes fullscreen and splits the fullscreen app. Can I stop this?",429596,3,0.2077,0.2148,insufficient_lexical_evidence,False,Best similarity score (0.2148) below 0.30 threshold; weak or insufficient lexical evidence.,True,2111518,2111517,2111519,stop this now I️ I️ I️ I️ I️,Here’s what you can do to work around the issue until it’s fixed in a future software update: [URL],train_only,,,,,,NEEDS_HUMAN_REVIEW
1757772,Errrr [USER] what’s going on here [URL],1757772,1,0.9014,0.9014,high_lexical_similarity,True,None,True,41612,41611,41612,What's going on here? [URL],Let's find out. What do you see if you click on the battery? Reply in DM to get started. [URL],train_only,,,,,,NEEDS_HUMAN_REVIEW
1757772,Errrr [USER] what’s going on here [URL],1757772,2,0.9014,0.9014,high_lexical_similarity,True,None,True,1419124,1419122,1419124,what’s going on here?👀 [URL],We can help. Have you tried this over Wi-Fi?,train_only,,,,,,NEEDS_HUMAN_REVIEW
1757772,Errrr [USER] what’s going on here [URL],1757772,3,0.7537,0.9014,high_lexical_similarity,True,None,True,2590734,2590733,2590734,aye cuz. What’s going on here? [URL],We've got your back. Does this continue after restarting the Mac?,train_only,,,,,,NEEDS_HUMAN_REVIEW
2414313,Didn’t have to follow those steps. With the battery below 10% and temperature below 5 Celsius the phone shut down by itself. When it came back up the News app was gone. I guess still no News app for #Canada.,2414314,1,0.2663,0.2663,insufficient_lexical_evidence,False,Best similarity score (0.2663) below 0.30 threshold; weak or insufficient lexical evidence.,True,1265230,1265229,1265230,Is there currently a News app outage?,Hi there. Are you still having trouble with your News app? There shouldn't be any outages. What's going on?,train_only,,,,,,NEEDS_HUMAN_REVIEW
2414313,Didn’t have to follow those steps. With the battery below 10% and temperature below 5 Celsius the phone shut down by itself. When it came back up the News app was gone. I guess still no News app for #Canada.,2414314,2,0.2504,0.2663,insufficient_lexical_evidence,False,Best similarity score (0.2663) below 0.30 threshold; weak or insufficient lexical evidence.,True,1726257,1726256,1726257,I don’t see the News app on my iPad and iPhone. Help!,Thanks for reaching out! Which country are you in? Let us know in DM. [URL],train_only,,,,,,NEEDS_HUMAN_REVIEW
2414313,Didn’t have to follow those steps. With the battery below 10% and temperature below 5 Celsius the phone shut down by itself. When it came back up the News app was gone. I guess still no News app for #Canada.,2414314,3,0.228,0.2663,insufficient_lexical_evidence,False,Best similarity score (0.2663) below 0.30 threshold; weak or insufficient lexical evidence.,True,2436045,2436044,2436045,Will the News app go out in France? thank you,We appreciate your interest and encourage you to stay up to date on Apple news here: [URL],train_only,,,,,,NEEDS_HUMAN_REVIEW
2686717,"I was able to chat with an Apple Support Advisor and turning iCloud Photo Library off and then back on did the trick. I was so grateful and your support person, Angela, was great. Thanks!",2686718,1,0.2536,0.2536,insufficient_lexical_evidence,False,Best similarity score (0.2536) below 0.30 threshold; weak or insufficient lexical evidence.,True,327085,327087,327086,Thanks!!! Restart did the trick!,"Awesome, we're glad to hear that. Please reach out if you need help in the future.",train_only,,,,,,NEEDS_HUMAN_REVIEW
2686717,"I was able to chat with an Apple Support Advisor and turning iCloud Photo Library off and then back on did the trick. I was so grateful and your support person, Angela, was great. Thanks!",2686718,2,0.2442,0.2536,insufficient_lexical_evidence,False,Best similarity score (0.2536) below 0.30 threshold; weak or insufficient lexical evidence.,True,300597,300599,300598,Great thanks .,You are very welcome.,train_only,,,,,,NEEDS_HUMAN_REVIEW
