golden_id,customer_tweet_id,customer_text_clean,annotator_a_intent,annotator_b_intent,annotator_a_action,annotator_b_action,final_intent,final_action,final_escalation_reason,adjudicator_id,adjudication_notes,final_status
golden_001,2002181,Tha activity app is loosing the data as soon that the phone syncs with the watch! [URL],,,,,,,,,,PENDING_HUMAN_LABELS
golden_002,1596051,guys sorry to complain but since iOS 11 upgrade - brick + LTE issues. Can you please provide another updated fix?,,,,,,,,,,PENDING_HUMAN_LABELS
golden_003,2299378,Also re-arranged that last tweet FIVE times because of the new @115858 update that’s turns “I️” INTO A FREAKING A,,,,,,,,,,PENDING_HUMAN_LABELS
golden_004,1083985,"How do I set English as the default Input Method? :) Bafflingly this seems stuck in Alphabetical order, always defaults to CN [URL]",,,,,,,,,,PENDING_HUMAN_LABELS
golden_005,952591,"Not at all, I mean the phone itself is on but the screen is locked and all",,,,,,,,,,PENDING_HUMAN_LABELS
golden_006,2955492,"I blocked my Apple ID by accident . Now i have to wait for 3 days. Are that workingdays? Or is weekend included? My iPhone is stolen. I have a new one now, but cant use my ID. So no apps.",,,,,,,,,,PENDING_HUMAN_LABELS
golden_007,172998,So it won’t work with Bluetooth? Just so that I know. I’m checking- I need a cable plugged into the charging port of the@phone and USB port in the car?,,,,,,,,,,PENDING_HUMAN_LABELS
golden_008,2445238,"My new iPhone X is scheduled to arrive in the mail tomorrow, how do I go about buying Applecare for it? After seeing the repair costs, I've had a change of heart!",,,,,,,,,,PENDING_HUMAN_LABELS
golden_009,2109871,bullshit customer experience and misbehavour of staff at Apple store in Zorlu Istanbul/Turkey. So sad to face this after listening to great mind and legend @84165 in @84166 😕 obviously these guys do not understand anything of Apple,,,,,,,,,,PENDING_HUMAN_LABELS
golden_010,2073016,not lying but my battery is fucked up,,,,,,,,,,PENDING_HUMAN_LABELS
golden_011,1372813,my iPad won’t turn on. All it has is the red battery despite being plugged in for more than 24 hours??,,,,,,,,,,PENDING_HUMAN_LABELS
golden_012,1097772,It says “downloading” then it goes back to the cloud.,,,,,,,,,,PENDING_HUMAN_LABELS
golden_013,2358755,"Finder is the worst and stupidest app on Mac @115858 @AppleSupport crashes all the time, stupid ""show more"" button, it can't order by filter-sub filter... Damn, it's 2017, do it better for God sake!",,,,,,,,,,PENDING_HUMAN_LABELS
golden_014,1420601,So annoying! All my iCloud has gone!,,,,,,,,,,PENDING_HUMAN_LABELS
