sample_id,golden_id,customer_tweet_id,customer_text_clean,agent_action,action_reason_codes,draft_reply,retrieved_evidence_snippets,human_relevance,human_historical_grounding,human_safety_and_privacy,human_clear_next_step,human_routing_appropriateness,human_overall_accept,human_reason_codes,human_reviewer_notes,human_review_status
agreement_01,golden_065,2095621,is there anyway to check the battery health of my iPhone without going into an Apple store?,auto_handle,eligible_low_risk_case,"We understand you are having concerns with your device’s performance or hardware. As an initial step, a basic device restart can often help refresh system processes. For a complete diagnostic check, please connect with Apple Support through an official secure channel. To help troubleshoot, have your device model and current software version ready when contacting official Apple Support through a secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_02,golden_155,2697212,Ok iOS 11.1.1,auto_handle,eligible_low_risk_case,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel. Please connect with Apple Support through an official secure channel so an advisor can review the specifics with you.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_03,golden_177,1989949,"hi apple, I have 2 Apple id's. How do I change Apple ID accounts on the Apple Watch app and will I lose connection to watch",escalate,high_risk_intent | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"For your security with Apple ID or account access, please use Apple’s official account-recovery or secure support options. Never share passwords, verification codes, or personal account details publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_04,golden_138,1642619,if we have family sharing on and we buy a family pack of iCloud data will all of our photos be synced together.. hoping not,escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are experiencing trouble with an app or Apple service. We suggest checking Apple’s official System Status page and ensuring your apps are up to date. For direct account or service assistance, please reach out through an official secure support channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_05,golden_037,145186,can i refund an album i bought 3 years ago? [USER] [USER] [USER],escalate,high_risk_intent | insufficient_historical_evidence | conservative_draft_mode,"For questions regarding billing, purchases, or subscriptions, please review your purchase history through Apple’s official secure support options. Never post payment details or account credentials publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_06,golden_076,235012,Icant turn off wifi since I’ve new ios its always on without my permission and i cant turn of new option with three keypads,escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are encountering a connection issue. As a basic step, checking your local network settings or toggling Airplane Mode may help. If the connection difficulty continues, please contact Apple Support through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_07,golden_174,846955,"Hi, yes I am. I’m noticing very fast drops in the battery % through regular use. I’ve disabled features to try and extend battery life.",escalate,insufficient_historical_evidence | conservative_draft_mode,"We understand you are having concerns with your device’s performance or hardware. As an initial step, a basic device restart can often help refresh system processes. For a complete diagnostic check, please connect with Apple Support through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_08,golden_013,2358755,"Finder is the worst and stupidest app on Mac [USER] [USER] crashes all the time, stupid ""show more"" button, it can't order by filter-sub filter... Damn, it's 2017, do it better for God sake!",escalate,other_or_unclear | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"Thank you for reaching out. To assist you safely, please provide more details about what you are experiencing, or contact Apple Support through an official secure channel. Please do not share private or account details publicly.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_09,golden_163,1765971,When you pay for a repair and the phone comes back damaged and unusable,escalate,high_risk_intent | uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are inquiring about service, repair, or an order. Please visit Apple’s official support and service portal to explore available service options and appointment scheduling. Support agents cannot determine warranty eligibility or promise replacements over public social channels.",,,,,,,,,,NEEDS_HUMAN_REVIEW
agreement_10,golden_047,1918885,the 11.0.3 update is garbage. New one this morning was my alarm going off but making no sound.,escalate,uncertain_intent | insufficient_historical_evidence | conservative_draft_mode,"We understand you are experiencing an issue related to software or updating. We recommend reviewing Apple’s official support resources for software updates. For troubleshooting tailored to your setup, please reach out through an official secure channel.",,,,,,,,,,NEEDS_HUMAN_REVIEW
