golden_id,customer_tweet_id,customer_text_clean,ai_suggested_intent,ai_suggested_action,ai_suggested_escalation_reason,ai_suggestion_confidence,review_instruction
golden_038,1919925,Pathetic service. 1 day old phone giving nightmares.. Please take this stupid box back and refund my money.,billing_subscription_or_purchase,escalate,billing_or_refund_lookup,medium,Review independently; do not copy blindly into human annotation sheets.
golden_110,2728120,Just used my fully charged iPhone6s+ for 1 hour checking email and SOMA (social media) battery now at 10%. Thanks @115858 for ios11. I don’t want the 8/X #builtinobselcance,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_032,1392454,"How about you fix my 6 Plus? Ever since I downloaded IOS 11, and then the updates, it’s been going crazy. So close to over it.",software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_090,448381,Is anyone else having the following @115858 problems: @115948 doesn’t open/ work/ screen is black SEVERE battery drains even with most apps closed and lights on dim #applesupport #apple #applemusic #iosissues,repair_replacement_or_order,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_067,352405,"my iPhone 6s Plus battery percentage drops like crazy, anyway to check battery health?",device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_120,1559346,So @115858 you gonna let me update my watch or nah,software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_055,1785592,"locked out of my icloud, not getting two factor aunthetication text.. a",account_access_and_apple_id,escalate,identity_verification,medium,Review independently; do not copy blindly into human annotation sheets.
golden_075,2728152,"hi, my phone was stolen so I deleted the device from my Apple ID account after changing my password. It did backup on iCloud before it went missing, how long will this backup be stored securely for? Thanks.",account_access_and_apple_id,escalate,account_security,high,Review independently; do not copy blindly into human annotation sheets.
golden_146,720587,"having a hard time with battery life on my 8 Plus and 7 Plus running iOS 11.1, no improvement from 11.0.3...just progressively and significantly worse.",software_update_or_os_issue,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_143,2772634,"my daughters iPhone 6s is stuck in headphone mode. I’ve turned it off and back on, it’s not in do not disturb mode... please help",other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_149,2072245,When listening to music on my @115858 phone why does it stop when I go into @917 🤔,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_113,1983976,quick question how’s come everytime I️ type an “I️” my phones makes an A and a box with a question mark in it ?,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_175,1625438,", I bought a case from the @115858 store on 10/14, and it broke yesterday. So disappointed. Can I return it to the Apple store?",other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
golden_056,1988539,I signed out of my iCloud and lost so many pics when I signed back in..... @AppleSupport help plz,apps_services_or_icloud,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_142,1234737,"i’ve tried restarting, resetting network settings, removing sim card, EVERYTHING. nothing works. this is ridiculous",connectivity_and_network,auto_handle,,high,Review independently; do not copy blindly into human annotation sheets.
golden_150,535817,Apple Music won’t let me make new playlists or download new music 😤,apps_services_or_icloud,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_026,1966899,"Somehow my iPhone has used 87% of battery in 25 minutes, I was only on Spotify, anyone else have these issues? @AppleSupport #appleisshit",device_performance_or_hardware,auto_handle,,medium,Review independently; do not copy blindly into human annotation sheets.
golden_035,1919919,I've already bought the Apple Music subscription on 18th Oct. Why is it asking me to buy it again?,billing_subscription_or_purchase,escalate,billing_or_refund_lookup,medium,Review independently; do not copy blindly into human annotation sheets.
golden_171,857097,my iphone 7 is not charging more then 10% 😳,other_or_unclear,escalate,insufficient_context,low,Review independently; do not copy blindly into human annotation sheets.
