customer_tweet_id,customer_text_clean,brand_reply_clean,proposed_intent,why_this_intent,confidence_in_manual_assignment
697,The newest update. I️ made sure to download it yesterday.,Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. [URL],software_update_or_os_issue,"Issues arising specifically from an iOS, watchOS, or macOS update, installation ...",High
736,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",software_update_or_os_issue,"Issues arising specifically from an iOS, watchOS, or macOS update, installation ...",High
735,I have the iPhone 6s Plus and just did the most recent update.,"To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: [URL]",software_update_or_os_issue,"Issues arising specifically from an iOS, watchOS, or macOS update, installation ...",High
745,I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁@AppleSupport,Hi there! What type of device are we working with?,software_update_or_os_issue,"Issues arising specifically from an iOS, watchOS, or macOS update, installation ...",High
756,MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport,Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,software_update_or_os_issue,"Issues arising specifically from an iOS, watchOS, or macOS update, installation ...",High
745,I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁@AppleSupport,Hi there! What type of device are we working with?,device_performance_or_hardware,"Physical hardware malfunctions, battery health, charging faults, broken screens,...",High
765,After update #ios1103 no spotify on my lock screen?@AppleSupport,Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,device_performance_or_hardware,"Physical hardware malfunctions, battery health, charging faults, broken screens,...",High
767,I just need @115858 to do something about the battery life because it sucks ass,We want to help you get your battery life back on track. Please DM and we'll look at it together. [URL],device_performance_or_hardware,"Physical hardware malfunctions, battery health, charging faults, broken screens,...",High
1761,iOS 11 is killing my battery @115858. Fix it.,We're here to help. Which exact iOS version is your device running? This info can be found under Settings > General > About.,device_performance_or_hardware,"Physical hardware malfunctions, battery health, charging faults, broken screens,...",High
1773,"I just get a white screen and nothing loads. After a short time, it just closes/crashes. Thanks for the reply.",Which model do you have and is iOS 11.1 installed on it? Any steps tried so far?,device_performance_or_hardware,"Physical hardware malfunctions, battery health, charging faults, broken screens,...",High
2642,still no reliable Bluetooth on my iPhone 8+.,Thanks for reaching out. DM which Bluetooth device you are trying to connect to so we can help. [URL],connectivity_and_network,"Issues connecting to Wi-Fi networks, Bluetooth accessories, cellular data / carr...",High
4879,I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists. [URL],We want to help. Does restarting help at all? DM us which iOS version you're on and we'll continue support there. [URL],connectivity_and_network,"Issues connecting to Wi-Fi networks, Bluetooth accessories, cellular data / carr...",High
6934,after the new apple updates: the battery life is really go fast and the WiFi is always on! @AppleSupport #newappleupdates,We'd love to help. Let's work on this together in DM. Start by letting us know what kind of device you are using. [URL],connectivity_and_network,"Issues connecting to Wi-Fi networks, Bluetooth accessories, cellular data / carr...",High
2625,my 7+ refuses to stay on WiFi calling ever since ios 11 and im seriously so over the customer service -___-,"We want to help you. DM us, and we can look into what's going on with Wi-Fi calling on your iPhone. [URL]",connectivity_and_network,"Issues connecting to Wi-Fi networks, Bluetooth accessories, cellular data / carr...",High
9840,"mi iPhone no se puede conectar a la red wifi privadas pero si a las free, que hago 😢",We offer support via Twitter in English. Get help in Spanish here: [URL] or join [URL],connectivity_and_network,"Issues connecting to Wi-Fi networks, Bluetooth accessories, cellular data / carr...",High
2635,"Just updated iOS on iPhone7, now iCloud backup greyed out, cannot be turned on, says “Last Backup Never”",Check out this link: [URL] Send us a DM if it doesn't help. [URL],apps_services_or_icloud,"Problems with Apple ecosystem applications and cloud services, including App Sto...",High
4890,"whenever I try to see the photos that I’ve just taken my #iphone6 shows me this. I’ve reset it, I’ve restored it... help? [URL]",We know how important it is to be able to view your photos. Are you able to see older photos on your iPhone?,apps_services_or_icloud,"Problems with Apple ecosystem applications and cloud services, including App Sto...",High
8331,Oh my god i’m so embarrassing @115858 why do I always send voice recordings in iMessage by accident do you know how embarrassing that is?!,"Are you accidentally recording audio message or is this happening on its own? Let us know in a DM, we’ll communicate there: [URL]",apps_services_or_icloud,"Problems with Apple ecosystem applications and cloud services, including App Sto...",High
9847,iMessage & snapchat,Thanks for letting us know. Send us a DM and we'll do everything we can to get your keyboard back on track. [URL],apps_services_or_icloud,"Problems with Apple ecosystem applications and cloud services, including App Sto...",High
11665,My backup was stored to my MacBook Pro which battery died 2 months ago.,Let's take a look at this together in DM. [URL],apps_services_or_icloud,"Problems with Apple ecosystem applications and cloud services, including App Sto...",High
1764,"Hello, I need some help regarding the region change on my Apple ID",This article should help with that: [URL],account_access_and_apple_id,"Authentication, account security, password recovery, Apple ID locks, two-factor ...",High
8297,Hello there i need help with the use of an administartors name and password on my imac,Hi! We're happy to help. Join us in DM with the macOS version installed on your iMac and more details about what's going on. [URL],account_access_and_apple_id,"Authentication, account security, password recovery, Apple ID locks, two-factor ...",High
8437,suck! Upgrade phone & I lose my Apple ID. Can’t get new id without old & can’t book Genius bar help appointment without ID!!! #stupid,"We're happy you reached out so we can find you the info you need. If you forgot your Apple ID, go to the Apple ID account page: [URL] From here, click ""Forgot Apple ID or password?"" then click ""look it up."" From here, follow the on screen prompts.",account_access_and_apple_id,"Authentication, account security, password recovery, Apple ID locks, two-factor ...",High
8551,ya.lately my screen was disfunction for touch after its been restart. i couldnt enter passcode yet homebutton still figureout my fingerprint,"For security, the passcode is always required even if you have Touch ID turned on. Are you still having touch screen issues?",account_access_and_apple_id,"Authentication, account security, password recovery, Apple ID locks, two-factor ...",High
8557,"is that safe if we disable passcode for unlock iphone? i mean,is the fingerprint still worked out? i think dat would be enough",We want to make sure we understand the issue. Are you wanting to disable the passcode and still use Touch ID?,account_access_and_apple_id,"Authentication, account security, password recovery, Apple ID locks, two-factor ...",High
22988,"Trying to download an app to a family member's phone that I purchased as the family group organizer. Being asked to purchase it, but I don't want to be charged again. Suggestions? [URL]","We can help. As long as this app supports Family Sharing, you'll be able to download it by following the steps in our article. Give them a shot, and let us know if this continues: [URL] [URL]",billing_subscription_or_purchase,"Monetary transactions, unexpected charges, App Store refund requests, recurring ...",High
23077,"ok not sure why this is happening but I need assistance charged my iPhone X (purchased yesterday) wirelessly and reached for it and this was on the screen, I could probably fry an egg [URL]",We'll be happy to take a look into this with you. Could you please send us a DM with what country you're located in so we can get started? [URL],billing_subscription_or_purchase,"Monetary transactions, unexpected charges, App Store refund requests, recurring ...",High
23100,", why do I keep getting charged over £20 for anything I buy from iTunes? Bought an album for £4.99 and got charged £20.67. Same thing happened a couple of weeks ago to. Why?! [URL]",Our iTunes Store team would be happy to look into this with you. Reach out to them here: [URL],billing_subscription_or_purchase,"Monetary transactions, unexpected charges, App Store refund requests, recurring ...",High
31436,"trying to cancel an online order, each time I login i'm told I don't have access to the order.",Hello. Our Sales Support team will be happy to assist you with this issue here: [URL],billing_subscription_or_purchase,"Monetary transactions, unexpected charges, App Store refund requests, recurring ...",High
32395,"Dear @115858, what you've done to my iPhone 6 w/ IOS 11 should be a crime. Thanks 4 updating 2 useless. Makes me want 2 cancel my X pre-order",We're happy to assist. Which iOS 11 version are you currently running? Go to Settings > General > About for the version.,billing_subscription_or_purchase,"Monetary transactions, unexpected charges, App Store refund requests, recurring ...",High
2638,...cost for sending in for diagnosing a problem if it's out of warranty?,We can help. Let’s start with the following steps to see if we can save you a trip in for service: [URL],repair_replacement_or_order,"Physical hardware repair services, Genius Bar appointments, Apple Store trade-in...",High
8420,Chat doesn’t seem to work in Germany. On the order page I cannot leave comments …,"If you are unable to access these resources, let's get you connected with our local AppleCare Support team to get you to our Online Support group: [URL]",repair_replacement_or_order,"Physical hardware repair services, Genius Bar appointments, Apple Store trade-in...",High
8422,"Dear @115858, I have an online order which I never received - who can I talk to?",We want to help out. Look here to talk with our Online Support: [URL],repair_replacement_or_order,"Physical hardware repair services, Genius Bar appointments, Apple Store trade-in...",High
8437,suck! Upgrade phone & I lose my Apple ID. Can’t get new id without old & can’t book Genius bar help appointment without ID!!! #stupid,"We're happy you reached out so we can find you the info you need. If you forgot your Apple ID, go to the Apple ID account page: [URL] From here, click ""Forgot Apple ID or password?"" then click ""look it up."" From here, follow the on screen prompts.",repair_replacement_or_order,"Physical hardware repair services, Genius Bar appointments, Apple Store trade-in...",High
9195,I bought an iPhone 8 with AppleCare+. Wanting to return the iPhone 8. What happens with the AppleCare+?,Thanks for contacting us. We'd like to gather some info to help out. Let's meet in DM. [URL],repair_replacement_or_order,"Physical hardware repair services, Genius Bar appointments, Apple Store trade-in...",High
709,I️ need answers because it’s annoying 🙃,We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,other_or_unclear,"Messages that lack actionable technical details, vague expressions of frustratio...",Moderate
723,hello are all the lines closed for tonight #help,What's going on? We're hapy to help if we can. [URL],other_or_unclear,"Messages that lack actionable technical details, vague expressions of frustratio...",Moderate
1755,Why does my I️ not work ?! @115858 please fix this!!!,We'd like to look into this with you. Please DM us your current iOS version and your iPhone model. [URL],other_or_unclear,"Messages that lack actionable technical details, vague expressions of frustratio...",Moderate
1764,"Hello, I need some help regarding the region change on my Apple ID",This article should help with that: [URL],other_or_unclear,"Messages that lack actionable technical details, vague expressions of frustratio...",Moderate
1770,why is my home sharing not working and how do i fix it,We're happy to help. Has Home Sharing worked with these devices before?,other_or_unclear,"Messages that lack actionable technical details, vague expressions of frustratio...",Moderate
